SpecimenCode	Subfamily	Genus	Species	LifeStageSex	Medium	SpecimenNotes	DNANotes	LocatedAt	OwnedBy	TypeStatus	DeterminedBy	DateDetermined	CollectionCode	CollectedBy	DateCollectedStart	DateCollectedEnd	Method	Habitat	Microhabitat	CollectionNotes	LocalityName	Adm1	Adm2	Country	Elevation	ElevationMaxError	LocLatitude	LocLongitude	LatLonMaxError	Bioregion	LocalityNotes	LocalityCode	Created	uploadId
awlit-ba03046	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235608		2011-01-01							Santa Catarina	JoaÃ§aba	Brazil			-27.1669	-51.4966		Neotropical		tc1462212544	2019-05-20 07:31:19.0	506	
awlit-ba03047	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235615		2011-01-01							Santa Catarina	Palmitos	Brazil			-27.0684	-53.1627		Neotropical		tc1462212297	2019-05-20 07:31:19.0	506	
awlit-ba03048	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235622		2011-01-01							Santa Catarina	Pinhalzinho	Brazil			-26.8483	-52.989		Neotropical		tc1462212558	2019-05-20 07:31:19.0	506	
awlit-ba03049	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235629		2011-01-01							Santa Catarina	SÃ£o Miguel do Oeste	Brazil			-26.7255	-53.5163		Neotropical		tc1462212564	2019-05-20 07:31:19.0	506	
awlit-ba03050	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235639		2011-01-01							Santa Catarina	Seara	Brazil			-27.1491	-52.3108		Neotropical		tc1462212572	2019-05-20 07:31:19.0	506	
awlit-ba03051	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235649		2011-01-01							Santa Catarina	XanxerÃª	Brazil			-26.8772	-52.40505		Neotropical		tc1462215726	2019-05-20 07:31:19.0	506	
awlit-ba03052	dolichoderinae	linepithema	humile			Harada A.Y. 2016. State of art of ants (Hymenoptera: Formicidae) at CaxiuanÃ£, Melgaco, ParÃ¡, Brazil. Advances in Entomology, 4, 115-132.							tc1462235657								Floresta Nacional de CaxiuanÃ£	ParÃ¡	MelgaÃ§o	Brazil			-1.8707	-51.7416		Neotropical		tc1462217570	2019-05-20 07:31:19.0	506	
awlit-ba03053	dolichoderinae	linepithema	humile			DemÃ©trio, M. F., R. Silvestre, P. R. de Souza, and C. Aoki. 2017. InventÃ¡rio da fauna de formigas (Hymenoptera, Formicidae) no Mato Grosso do Sul, Brasil. Iheringia. SÃ©rie Zoologia 107.							tc1462235665		2011-01-01						Serra da Bodoquena	Mato Grosso do Sul	Bonito	Brazil			-21.187	-56.694		Neotropical		tc1462211982	2019-05-20 07:31:19.0	506	
awlit-ba03054	dolichoderinae	linepithema	humile			Corassa, J. D. N., I. C. Magistrali, J. C. Moreno, E. B. Cantarelli, and A. Corassa. 2013. Efeito de iscas formicidas granuladas sobre a biodiversidade de mirmecofauna nÃ£o alvo em serapilheira de eucalipto. Comunicata Scientiae 4:35â€“42.							tc1462235675		2006-01-01						Fazenda Jaboticabal	Mato Grosso	Vera	Brazil			-12.3005	-55.316944		Neotropical		tc1462220749	2019-05-20 07:31:19.0	506	
casent0000011	dolichoderinae	linepithema	humile	3 workers	Pin			CalBug Project	CASC				HJR2002	H.J. Ratsirarson	2003-07-26						West of Muir Woods	California	Marin	United States	111		37.89402	-122.5699		Nearctic		Muir_Woods_111	2024-08-16 02:47:55.0	1691	
